title,body,date
いいロケーション,日本酒の品揃えが素晴らしいです。特に県外産のもののレベルの高さは秀逸です。料理は凝っているかもしれませんが、少し時間がかかるのが難点です。店主の主張があえば良店ですが、あわないと不快になるかもしれません。好みが分かれるお店かもしれません。,2016/6/1
温泉,出張で利用しました。秋田駅からは少しはなれていますが、飲み屋街のそばで飲食店には困らない立地でした。敷地に立体駐車場があり、冬場でしたので非常に助かりました。外来入浴のお客さんも多いようです。温泉はけっこう広く、あったまって冬の旅にはとてもよかったです。,2012/2/1
上級ビジネスホテルといった感じ,周囲のビジネスホテルに比べ千円以上高いがそれに見合う高級感がある。ロビーに無料で使用できるパソコンが設置されているのもポイントが高い。客室はシンプルな中にも気品ある雰囲気。駅から裏道に一本入るためアクセスは星一つ減としました。,2011/8/1
手ごろな価格で清潔・安心なホテルです,リッチモンドホテルならではの清潔できれいな客室が、早期予約で手ごろな価格で止まることができました。秋田駅からペデストリアンデッキとアーケードを通って、新幹線の改札から徒歩4，5分。アーケードを抜けてから1，2分ですので雨でもほとんどぬれずに到着できます。ロビー、エレベータも広くてきれいでつか安い。自動支払いシステムですが、案内も的確で分かりやすかったです。手ごろな価格で広めの客室に泊まりたい方にはお勧めできます。,2014/4/1
駅から近くすぐ分かる,一人旅の素泊まり3700円にて一泊しました。駅から目に入りやすい、すぐ確認できる場所だったので迷うこともなく行けました。フロントの接客もスムーズで良い感じでした。部屋は清潔な感じでバスルームも広めですごく満足できました。,2014/3/1
美しい森林地帯を行く,秋田県の内陸部、鷹ノ巣と角館を結ぶ山間の路線です。とくに国鉄阿仁合線だった区間は、駅舎や構内に国鉄時代の雰囲気がよく残っています。合川や米内沢は下車してみたい駅だと思います。写真は中心駅である阿仁合駅です。,2015/10/1
駅弁の域は出ていないかなあと思いました。,ここは鶏めし弁当＠850円が超人気商品。駅弁なんですが、圧倒的な支持を受けていて、ネットでもたくさん情報が出ています。ということで、私も買っていただきました。鶏肉がしっかりしていて、噛むと肉のうま味がしっかり感じられるような。ただ、期待が高かった分、評価が厳しくなってしまうのですが、駅弁の域は出ていないかなあと思いました。,2013/10/1
ザ・秘湯の御宿,豪雪の日に宿泊しました。雪見の露天風呂は最高です。自然の中にいくつか露天があり、夜の時間帯は場所がら宿泊客のみのせいか貸切状態になりゆったりお風呂に入れました。雪の中裸・はだしで出て行くのが少し勇気が要りますがそれがまたいい思い出です。,2012/12/1
地産の野菜が安い,すべての建造物・テーブル・椅子が木でつくられており、木のぬくもりが感じられる施設です。この辺りは杉の多い山里という感じです。物産館では地元の野菜が安く売られていて、たくさん買ってしまいました。横手は果樹園が多いようで、この時期はぶどうがたくさん見られました。,2015/9/1
なまはげがいっぱい,館内は、なまはげでいっぱいです。なまはげ伝承ホールでは、大晦日の男鹿のなまはげ行事を15分間の映像で紹介しています。開館時間の毎時　00分〜15分、30分〜45分です。なまはげのお面や衣装を着て、無料で記念撮影ができます。なまはげ関連の品々を売っています。ここを一通り見学するとなまはげ通になれるかも。,2013/8/1
パンケーキが食べられるレストラン,秋田駅からぶらぶら歩くと7，8分。千秋公園の向かい側にあります。地元では，昔からある老舗ホテルで皇室の方々も宿泊されることで有名。館内はすっかりクリニックだらけになってしまいましたが，レストランは和・洋・中あって，ランチや宴会でよく利用します。1階のカフェ「キャッスルハウス」にパンケーキ登場・・・ということでさっそく行ってみました。ハワイアンパンケーキは，マカダミアナッツソースがかかっていて，800円。たっぷり果実のパンケーキは，いろいろなフルーツがのっていて，950円。本場ハワイのパンケーキ・・・とまではいきませんが，おいしかったです。宿泊の際は，朝7時から朝食も食べられるようです。,2013/7/1
晴れれば絶景☆スニーカーで行こう,鉾立ビジターセンターから5分くらいです。舗装された道ですが、ハイヒールでは大変危険なのでスニーカーで出かけましょう。車でひょいと来ると、地上との温度差にびっくりします。凍えている方が見受けられたので、上着もお忘れなく！滝も見えて、晴れれば大変素適な観光スポットだと思います☆,2013/8/1
たそがれ清兵衛,角館のメインストリートである武家屋敷通りと桧木内川側に並行した通りに面して映画「たそがれ清兵衛」の撮影に使われた松本家があります。青柳家や石黒家の様な立派な屋敷ではありませんが、茅葺きの小さな柴垣で囲まれた屋敷は昔の下級武士の実生活が伺えます。,2014/4/1
４月でも十分な雪量,たざわ湖スキー場周辺へは観光で訪れたのですが、４月上旬の平日でしたのでスキー場は休業していたようです。もちろん滑っている人はいませんでした。乳頭温泉方面からスキー場へもバスは止まるのですが、この時期でも雪量は十分ありまだまだ滑れる事がわかります。スキー場全体下部方面しか見えませんでしたが右側のコースは急斜面のようでした。４月はまだまだ冬ですね。,2013/4/1
黄金のたつこ像はライトアップで,田沢湖のシンボルの一つ「たつこ像」はＨエルミラドール（旧田沢湖ﾌﾟﾘﾝｽホテル）から歩いて5分、昼間に見るよりライトアップのほうがより金色に見える。デンマークの人魚姫は”世界三大ガッカリ”と言われるが、こちらもそれに近い。,2010/10/1
大自然と天然温泉を堪能,観光旅行の際に利用しました。大自然と天然温泉を堪能する事が出来ました。和室の広い部屋で、備品やアメニティーなどの種類が豊富にあるのが良いと思います。ルームサービスオススメです。大浴場で疲れを癒せます。観光旅行利用にオススメ,2015/5/1
美味しい二八、香り高い十割,収穫の季節の関係で残念ながらこちらで栽培している「あかそば」は食べられなかったが、二人で「二八」と「十割」のもりそばを。それぞれ5〜600円台、食べ物の美味しい角館を散策するには量と値段がいいバランス、そして美味しい。特に「十割」はぜひ少しのわさびでそばだけ食べてみたい、口の中に広がるそばの強烈な風味は素晴らしい。そして蕎麦湯のトロ〜ッとした濃いめの味わいは特筆モノ。,2013/6/1
もの凄く大きな湖でした。,十和田湖は大きな半島が２つあり、３つの湾に分かれているので陸上から全てを見ることができませんがこのツアーに参加して湖に出てみると十和田湖の大きさに驚かされます。特別保護区域の中の「イトムカの入り江」の青さには感動しました。,2014/5/1
秋田のすばらしい遺産,平野政吉美術館は、千秋公園の入り口。写真のお堀を渡ったすぐのところ。久保田城の石碑が建つあたりが入り口です。個人の名前の付いた美術館なのですが、それにしては平野政吉は聞いたことがありません。なかなか入る気がしなかったのですが、入ってびっくり。。藤田嗣治の見たこともないような大きな作品がありました。内容は、秋田のどこか田舎町でしょうか。町のお祭り。舞台で、出し物を演じる人、その周囲には、祭りを楽しむ人の群れ。それぞれが、勝手に楽しんでいるのですが、それらの動きを全体としてまとまりのある構成に仕上げています。こうした力は、並みの画家ではできません。パリで認められた力のすごさを存分に味わうことができました。秋田にちなんだ題財ですし、秋田のすばらしい遺産ですね。,2009/7/1
世界最大の二重カルデラ湖　,この時期はホテルも遊覧船も冬期休業中で、一部の湖畔に出れる場所から景色を眺めるだけしかできませんでした。人を寄せ付けない複雑な地形をした十和田湖観光はカヌーツアーかボートツアー、遊覧船に乗るのが一般的ですが、素晴らしい景色が眺められる６ヶ所くらいある展望所巡りもオススメです。,2015/3/1
研修・合宿向けのホテル,秋田空港に一番近いホテルですが、立地場所が良くなく車がないと不便です。近くに飲食店やｺﾝﾋﾞﾆなど皆無なので買い物・食事は済ませておいた方が良いと思います｡ただ、向かいが秋田県立中央公園スポーツエリアなので、森に囲まれた緑あふれる静かな環境で、ビジネス・研修・合宿には最適です｡因みに、スポーツエリアにあるフィールドアスレチックはかなりの規模で驚きます。,2010/12/1
秋田杉てんこ盛り！情緒たっぷり、新屋駅から10分の温泉,秋田の温泉って有名どころは秋田駅周辺にはありません。情緒たっぷりな温泉を探していて、この新屋温泉に行ってみました。駅から歩いて10分ほどですが、看板も案内もありませんので、「ここか？」って感じです。地元の方がメイン利用でクルマが頻繁に出入りしているのでわかります。入場時に入浴500円もしくは休憩所利用1000円を払います。浴槽は水？、源泉100%、源泉50%（ぬるめ）と3種類ありますが、源泉100%でもそれほど熱くありません。サウナとかはありませんので、じっくり入るだけです。廊下もトイレも秋田杉でおおっ！って感じです。秋田駅周辺には「秋田温泉」「こまちの湯」なども日帰り温泉です。,2011/11/1
景色が綺麗な八幡平,八幡平は景色がとても綺麗です。天気が良い日は山が綺麗に見えます。車でずっと登って行きましたが、駐車場もありますし、混んでいましたが停められました。夏でも上は風が強く寒いので、軽く羽織るものを持っていくと良いと思います。,2014/8/1
枝垂れ桜が見事！樺細工の実演も見られます,母が樺細工の茶筒を昔から大事に使っていることもあり、樺細工というとどこか懐かしさを感じます。山桜の樹皮を使っているそうで、こちらでは細工の実演も見られます。入館する時間がないという方もお庭は必見です。ここの枝垂れ桜は角館の開花を予想する木でもあるそうで、とても見事な木です。角館というと黒板塀という和のイメージですが、伝承館の建物は洋館のようなたたずまいで、この建物と桜のコラボレーションもまた趣きがあります。,2012/5/1
こんな最悪なビュフェは初めてでした,フリーペーパーに掲載されていたので　ちょっと遠かったですがドライブがてらに行ってみました。ランチビュフェが手ごろな値段で味わえるらしいので　お店の中は　満席状態でした。しかし、料理がない！出てこない！時間制限あり！あまりにもひどいので　料理がどおしてたくさん出さないのですか？とたずねたら　冷めるからとの返事でした。冷める以前に料理が少なすぎてみんなにあたりません。客の人数のわりには　厨房がおいついていないみたいです。ここは、ビュフェをやっていても　単品のメニューもオーダーうけているみたいで　よけいに料理が間に合わないみたいでした。料理の味も　普通でした（個人的な感想です）あまりにも頭にきたので　お金返してもらいたいぐらいと文句を言ったら返してよこそうとしましたが　受け取らなかったです。もう絶対２回はないです。あえて　その時の状態の写真をのせました。,2015/12/1
たまに食べたくなる京都発祥のラーメン屋さん。,某テレビ局のケンミンのための番組など全国放送のテレビでもたびたび取り上げられる秋田県民お気に入りのラーメンのようですが発祥は京都のラーメン屋さんでのれん分けされたようです。オーソドックスな中華そばは真っ黒なスープが特徴ですが富山ブラックのような濃さはなく意外とあっさりいけます。なんとなく時々食べたくなる、そんなラーメン屋さんです。,2016/1/1
高級感のあるホテル,秋田駅から徒歩５分。見るからに高級感漂うホテルでビックリ。ホテルの対応も丁寧で最上級の”おもてなし”といった感じです。部屋も広くて寛げました。本来はビジネスユースで使用するホテルではないのかもしれませんが、値段からすれば、十分にビジネスとしても利用できるかなと思います。,2015/2/1
秘湯！,ずっと行きたかった宿で、期待値も大きかったのですが、それを上回る満足度でした＾＾。建物はもちろん古いのですが、清潔に整えられているし、スタッフの方はみんな親切です。宿全体がタイムスリップしたかの様な景色で、写真好きの方にもおすすめです＾＾お料理も期待以上においしかったです＾＾お酒類が安くておいしいのに驚きました。お湯は今までの温泉ってなんだったのだろうと思うほどです。お湯が適温でジャージャー出るようなシャワーなどはないのですが、それを差し置いても素晴らしいです。「黒湯」の温まり方に感動しました＾＾近代的な設備がお好きな方にはあんまりかもしれませんが、それ以外の温泉好きの方にぜひ行ってもらいたい宿です＾＾,2013/11/1
横手市内が一望出来ます。,横手城展望台からは横手の街並みが一望出来ます。天気がよければ大仙市や湯沢の方も見えるかと思います。公共の交通手段がないので、行かれる方はタクシーまたはかまくら館でレンタサイクルを借りて行かれるのが良いと思います。,2013/7/1
秋田でコーヒーと言ったら。,秋田県内で７店舗ほどあるコーヒーショップで秋田でコーヒーと言ったら某シアトル系コーヒーよりもこちらです。各種の豆をそろえており、豆だけでなく挽き方にもこだわりが多く豆の種類によっては挽き方まで指定できるものもあります。ケーキなどのデザートも充実しておりゆっくりと楽しめるお店です。,2016/3/1
ゴーグルが必要！酸性度の高い天然野天風呂。,　小安峡温泉に行く途中に行きました。車を降りてずっと歩いて大湯滝まで行きますが、その道沿いに流れている川がすでに温泉になっています。詳しい人と一緒だったので、川の一か所がプールみたいになっているところがあり、まさに温泉ポイントがありました。ただ残念なことに最近雨が降ってないらしく、温度が高くて入ることはできませんでした。　さて道をずっと進んでいくと、かなり高い所から落ちる滝があり、その滝壺が温泉として入れるようになっています。温度も適温。さっそく水着に着替えて入りました。野趣あふれるダイナミックな温泉で最高の気分でした。何人かの人はゴーグルをかけて温泉に入っていました。温泉の酸性度がかなり高いため、滝の水しぶきが目に入り、目が開けられないところもありました。次回行くときは持参したいと思います。,2009/9/1
角館の代名詞,秋田県の数少ない代表的な観光地の１つであり、角館、といえばこの武家屋敷通りが真っ先に思い浮かぶでしょう。「角館町角館伝統的建造物群保存地区」が、国の重要伝統的建造物群保存地区としての名称です。かつての中・下級武士の侍屋敷である旧家が建ち並ぶエリアで、当時の趣をよく残している場所だといえます。春は桜が美しく、冬は雪景色が美しいです。みちのくの小京都といわれるゆえんかもしれません。,2012/8/1
共英パルスの前の湖岸をぶらぶらしました,ツアーで行き、たつこ像の所から入り、右回りで、田沢湖の上に秋田駒ヶ岳を望みながら昼食を食べにドライブインに行きました。その共栄パルスのすぐ前が田沢湖です。その湖岸から蓬莱の松がある付近までの湖岸が白浜というようです。ホテルやレストランなどがあります。,2014/11/1
秋田港利用なら最寄,秋田港に最寄りのホテルです。翌日早い新日本海フェリーに乗船予定だったので便利でした。大浴場もゆっくりできてよい。が、子供連れの旅でしたが近くに子供が入れそうな飲食店がなく、結局居酒屋に。美味しかったからいいんですが。夕飯は近くに土崎駅があるので電車で秋田市内まで行くのもいいかも。,2013/5/1
あいにくのお天気でちょっと残念ですが、見晴らしはすばらしい,夏休み。山の日の１日前。酒田市から遠望した鳥海山に登りました。秋田方向に走りつつ、海岸道路から右折。鳥海山のスカイラインをぐんぐん上ります。コーナーはそんなにきつくなく、道幅もありますので安心して上れると思います。ちょっと天気が悪く、８月初旬にしては肌寒い季候。駐車場はとても広く、登山される方はここに停めて上がられるのでしょう。雲の切れ間から日本海が見えた時はちょっと感動です。スカイラインも無料ですし、また天気が良い日に再挑戦したいです。お土産を売っている売店もあります。バイクでツーリングの方も多数いました。山の環境を維持する為にトイレはチップ制です。少額ですが入れました。,2016/8/1
道の駅うご,新しく出来た道の駅だそうで、とても綺麗でした。有名だというジェラートをお目当てに訪問。ジェラートは滑らかで美味しい！コーンは市販のものなのでこだわりが欲しいところ。道の駅の物販はクレジットカードが使えます。,2017/5/1
清潔感ある快適なビジネスホテル,子連れ旅行で利用しました。駅からは徒歩７分くらいですが、すぐにわかります。周辺にはコンビニはやファストフードもあり便利です。　館内や室内は清潔感があり、快適でした。セミダブルの部屋を利用しましたが、ビジネスホテルでは広く、荷物を置ける場所も十分にありました。　また館内にはスーパー銭湯があり、宿泊者は無料で利用できるのも、大変よかったです。　かまくら祭りの時に行きましたので、エントランス前にかまくらがありました。値段もリーズナブルでしたので、次回もまた利用したいと思います。,2015/2/1
深夜がお得,寝過ごしてしまい、終点の秋田まできてしまい、終電も終わってしまっていたため、ホテル近くのホテルをさがしていたところ東口直結にこちらのホテルがあり助かりました。レイトチェックインとのことでお安く泊まるこができ、また助かりました。同じビルにコンビニあります。水・お湯は、廊下なので、こちらは残念でした。,2014/1/1
遊べる たべれる,毎年一度はここの炭焼きのウインナーを食べたくて訪れます。ちょっとスパイシーなので、3才の子は食べられませんでしたが小学生は大丈夫の様でした。ほかにもチーズトーストやソフトクリームも食べて満足。ちゃんと食事ができるところもありますが、我が家はまだ利用したことがありません。子供が楽しめる乗り物や、乳絞りの模擬体験なんかも出来る様になっており、子供達はとても喜んでました。建物も改装して広く綺麗になっていて薪ストーブが存在感ありました。,2014/10/1
レストランは月曜休業,比内地鶏で有名な比内町の道の駅です。お土産も比内地鶏関係のものがたくさん売っていました。施設内のトイレはかなり狭いです。敷地内のレストランは月曜が定休です。道の駅のレストランの定休日ってあんまり聞いたことないなーと思いましたが。,2013/6/1
秋田の名物を一度にいただけます。,田沢湖駅前ロータリーにあるお土産屋さんと兼ねたお食事処です。テーブル席の奥にお座敷もあるようで、わりと大人数にも対応できるようです。こちらのお奨めメニューとして、「きりたんぽ稲庭うどん」があり、秋田名物のきりたんぽと稲庭うどんが一度に味わえます（ひょっとしたら、具材に使っていた鶏肉は比内地鶏なのかも）。気軽に入ることができるお店なので、お土産探しも兼ねてお店を覗いてみるのもいいかもしれません。,2014/9/1
佐藤義亮の人物伝といった資料の方が目を引きました,新潮社記念文学館が、どうして角館にあるんだろうと思ってしまいましたが、新潮社を創設した佐藤義亮が仙北市角館町の出身なんですね。館内は、日本文学界の歴史を解説したものもありましたが、むしろ、貧しく孤独な暮らしの中で印刷工から校正係に抜擢されたことをきっかけに文壇への興味が膨らんでいったという佐藤義亮の人物伝といった資料の方が目を引きました。,2013/8/1
由利本荘周辺の拠点に良いかも！,アクセスは微妙なところです。車の方なら問題ありませんが、電車では少し離れています。エアコンは埋め込みタイプではなく、家庭用と変わらないタイプです。ですので、空調の調整は可能です。鍵はオートロックです。カードをドアノブあたりに当てて、開けるタイプでした。（全室かはわかりません。）窓から見える景色は、綺麗です。ですが、少し海から離れています。海辺が希望だと、ここは泊まれません。海に夕日の沈む様を遠くから眺めるようなイメージが必要です。こだわりが特になければ、このホテルはお勧めです。,2012/7/1
大規模リニューアルが続いた模様,一昨年４月に男女別新浴場「せせらぎの湯　和み」がオープン、続いて１２月に女性大浴場「美人の湯」露天風呂が拡大改装、そして今年４月に「源泉掛け流し露天風呂付客室」が４室新規改装オープン、と大規模リニューアルが続いた模様。露天風呂付客室を予約してみました。テレビは４０インチ。地デジのほかBSデジタルもバッチリでした。さて、お部屋の露天風呂はもちろん源泉掛け流しです。ドアを開けるとウッドデッキになっていて檜の露天風呂が。洗い場はなく、部屋のバスルームか大浴場を利用します。夕食は地元秋田の郷土色豊かなバイキングで大変おいしかったです。,2016/10/1
デパート内のカフェ,　秋田市の西武百貨店の地下階食品フロアにあるカフェ。「CafenoBar」とも表記する。　他の西武百貨店でも展開している。　コーヒーを主体としたドリンクは勿論、軽食やデザートも提供する。　カフェタイムセットは、当店が提供するセットメニュー。　ケーキと、ドリンクのセット。　ケーキは3種類から選べ、ドリンクはコーヒー、紅茶等から選べる。,2012/6/1
駅に直結,JR秋田駅に直結しているので，雨が降っていてもぬれずに移動できて大変便利なホテル。リーズナブルなビジネスホテルだが，室内は清潔で最低限度の設備がそろっている。朝食無料があるのも嬉しいが，朝のロビーはかなりごった返すので時間帯に気を付ける必要あり。,2012/8/1
秋田、東北ならではの商品が並びます,西馬音内の市街地には和菓子屋さんがいくつかあって、この矢野商店もその一つ。小さなお店で品数は少ないですが、なるともち、あんびんなど、秋田、東北ならではの商品が並びます。あんびんをいただきましたが、伸びやかなお餅と素朴な餡子の甘さで、これは期待通り。年季を感じる味わいです。,2014/8/1
テレビ撮影もしばしばあるらしいです。,夏休みに田舎に遊びに行った際、親戚に連れて行ってもらいました。外国から来た方もワリとおられましたよ（´∀｀）興味深そうに写真撮影してました(笑)昔の小道具が所々で発見されて、とても楽しく写真撮影出来ました。食処もありましたが、今回は寄りませんでした。お土産屋も結構ありましたよ〜。名前忘れたのですが…資料館の様な所に入ったら、戦時に使われてた小道具や軍服、刀などもたくさん展示されてました。見ごたえ充分です!,2013/8/1
夕方についてしまったので,国道１３号線沿いにある丸い特徴的な建物の道の駅です。到着が閉館１時間前だったので、直売所も外の売店も閉まっていて残念でした。駅自体の店内は明るくて、お土産も見やすい配置になっていました。二階のレストランの手もみぜんまい丼が気になったので、次は食べられる時間に行きたいと思います。,2013/6/1
夕陽の時間帯が一番よいと思います,夕陽の時間帯に乗りました。全車指定席ですが運転席のうしろあたりの席など一部フリーのエリアがあります（どこかの指定席券を持っていないとだめです）。青森側の川部を出発すると岩木山を眺めながら津軽三味線の生演奏を楽しむことができます。鯵ヶ沢を過ぎるとやっと海が見えてきます。鯵ヶ沢〜深浦は日中は極端に列車の本数が少ないので、千畳敷駅などを利用する際は予め時刻表をよく確認しておく必要があります。このあたり、車窓から手軽に荒々しい岩礁海岸の風景を眺めることができます。夕陽の時間帯はひとしおです。,2011/10/1
